survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
1,2,0,-0.05894629371021667,1,0,-0.17162307525770204,2,Second,0,False,,Southampton,yes,False,2
0,1,1,2.3820315096879936,0,1,0.6249180079188483,0,First,1,True,B,Cherbourg,no,False,2
1,1,1,,0,0,0.038696784277174455,2,First,1,True,C,Southampton,yes,True,1
1,2,0,-0.6013858055764857,0,0,-0.51477653028829,2,Second,0,False,,Southampton,yes,True,1
0,3,1,-0.09284876320185849,0,0,-0.5871885509795188,0,Third,1,True,,Cherbourg,no,True,1
1,2,0,-1.6862648293090239,1,2,-0.13287994323811952,2,Second,0,False,,Southampton,yes,False,4
0,3,1,-1.279435195409322,5,2,0.2910806157190262,2,Third,0,False,,Southampton,no,False,8
0,3,1,-0.533580866593202,0,0,-0.5871885509795188,0,Third,1,True,,Cherbourg,no,True,1
1,1,0,0.5512981571393359,0,0,1.0238792842037012,3,First,0,False,B,,yes,True,1
0,1,1,1.0259327300223213,1,0,1.1008120749283006,2,First,1,True,C,Southampton,no,False,2
0,3,1,-1.7540697682923074,3,2,-0.12955910335072676,2,Third,0,False,,Southampton,no,False,6
0,1,1,,0,0,-0.13352640006953198,0,First,1,True,,Cherbourg,no,True,1
1,3,1,,1,1,-0.40970958403769875,0,Third,1,True,,Cherbourg,yes,False,3
1,2,0,-0.05894629371021667,0,0,-0.51477653028829,2,Second,0,False,F,Southampton,yes,True,1
0,3,1,-0.736995683543053,0,0,-0.566619268717008,2,Third,1,True,,Southampton,no,True,1
1,3,0,-0.8726055615096202,4,2,-0.5717842816885328,2,Third,0,False,,Southampton,yes,False,7
0,3,1,-0.26236111066006756,2,0,-0.5554568189088516,2,Third,1,True,,Southampton,no,False,3
0,2,1,0.14446852323963422,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
0,3,0,-0.9404105004929039,5,2,0.2910806157190262,2,Third,0,False,,Southampton,no,False,8
0,2,1,-0.6013858055764857,0,0,0.8799762224166804,2,Second,1,True,,Southampton,no,True,1
0,3,1,-0.26236111066006756,1,0,-0.4272347630700996,0,Third,1,True,,Cherbourg,no,False,2
1,3,1,0.14446852323963422,0,0,0.5035213849953176,2,Third,1,True,,Southampton,yes,True,1
0,3,1,-0.33016604964335117,0,0,-0.577872488148753,2,Third,1,True,F,Southampton,no,True,1
1,2,1,-1.9690114248693167,0,2,-0.1052062775098463,2,Second,0,False,,Southampton,yes,False,3
1,3,0,0.00885864527306696,0,0,-0.4710521384376183,2,Third,0,False,,Southampton,yes,True,1
0,3,1,-0.533580866593202,0,0,-0.5479849291622179,2,Third,1,True,,Southampton,no,True,1
1,3,1,-0.05894629371021667,0,0,-0.5369154628709086,2,Third,1,True,,Southampton,yes,True,1
1,3,0,,0,0,-0.5748283849186429,1,Third,0,False,,Queenstown,yes,True,1
0,1,1,-0.1267512326935003,0,0,0.29550840223554997,2,First,1,True,,Southampton,no,True,1
1,2,0,-0.8726055615096202,0,0,-0.51477653028829,2,Second,0,False,,Southampton,yes,True,1
1,3,0,0.21227346222291785,3,0,-0.3963332409712806,2,Third,0,False,,Southampton,yes,False,4
0,3,1,-0.9404105004929039,1,3,0.013790485121728554,2,Third,1,True,,Southampton,no,False,5
1,1,0,-0.4657759276099184,3,2,5.061467113958765,2,First,0,False,C,Southampton,yes,False,6
0,3,1,-0.3979709886266348,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,-0.05894629371021667,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,-0.6691907445597693,0,0,-0.5733517181153822,2,Third,1,True,,Southampton,no,True,1
0,1,1,1.093737669005605,1,0,0.6071138783359064,2,First,1,True,E,Southampton,no,False,2
0,3,1,-0.26236111066006756,1,2,-0.29172678451840783,2,Third,1,True,,Southampton,no,False,4
0,3,1,1.9752018757882923,0,0,-0.5867280611818004,2,Third,1,True,,Southampton,no,True,1
0,1,1,2.7888611435876953,0,0,0.019971675098795726,0,First,1,True,A,Cherbourg,no,True,1
1,1,1,-0.4657759276099184,0,1,0.6554498098435376,0,First,1,True,D,Cherbourg,yes,False,2
1,2,0,0.2800784012062015,0,1,-0.23803987300555776,2,Second,0,False,,Southampton,yes,False,2
0,2,1,0.2800784012062015,1,0,-0.17162307525770204,2,Second,1,True,,Southampton,no,False,2
0,3,0,-0.1267512326935003,0,0,-0.5724307385199453,2,Third,0,False,,Southampton,no,True,1
0,1,1,-0.6013858055764857,0,1,0.9638274295733482,2,First,1,True,D,Southampton,no,False,2
0,3,1,0.21227346222291785,0,0,-0.5556405720492874,2,Third,1,True,,Southampton,no,True,1
0,3,1,0.4834932181560524,2,0,-0.5717842816885328,2,Third,1,True,,Southampton,no,False,3
0,3,1,-0.1267512326935003,0,0,-0.5724307385199453,2,Third,1,True,,Southampton,no,True,1
1,3,0,-0.6013858055764857,0,0,-0.577872488148753,2,Third,0,False,,Southampton,yes,True,1
1,3,1,,0,0,-0.5751051215759256,2,Third,1,True,,Southampton,yes,True,1
0,3,1,0.5512981571393359,0,0,-0.5724307385199453,2,Third,1,True,,Southampton,no,True,1
1,3,0,,1,0,-0.21258010053554643,1,Third,0,False,,Queenstown,yes,False,2
0,1,1,1.1615426079888886,0,0,0.40398917189038097,2,First,1,True,C,Southampton,no,True,1
0,3,0,-1.0421179089678294,1,0,-0.4272347630700996,0,Third,0,False,,Cherbourg,no,False,2
0,3,1,-0.533580866593202,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,0,-0.6691907445597693,1,0,-0.5297203097815576,2,Third,0,False,,Southampton,no,False,2
0,3,0,-0.8726055615096202,0,0,-0.4271439934465109,0,Third,0,False,,Cherbourg,no,True,1
0,3,1,-0.6013858055764857,0,0,-0.5717842816885328,2,Third,1,True,,Southampton,no,True,1
0,3,1,2.754958674096054,0,0,-0.5756585948904911,1,Third,1,True,,Queenstown,no,True,1
0,2,1,-0.05894629371021667,1,0,-0.2823177381707949,2,Second,1,True,,Southampton,no,False,2
0,1,1,-0.3979709886266348,0,1,4.732610981590032,0,First,1,True,B,Cherbourg,no,False,2
0,3,0,-1.8896796462588747,4,2,-0.05484020588438907,2,Third,0,False,,Southampton,no,False,7
0,2,1,-0.6013858055764857,2,0,0.8799762224166804,2,Second,1,True,,Southampton,no,False,3
0,2,1,0.17837099273127605,1,0,-0.08149990850037836,0,Second,1,True,,Cherbourg,no,False,2
1,2,0,0.17837099273127605,0,0,-0.45942919883174355,2,Second,0,False,E,Southampton,yes,True,1
0,1,1,1.6361771808718741,0,1,0.9638274295733482,2,First,1,True,D,Southampton,no,False,2
1,3,1,-1.2116302564260384,1,0,-0.4983560839917618,0,Third,0,False,,Cherbourg,yes,False,2
0,3,1,,0,0,-0.5756585948904911,1,Third,1,True,,Queenstown,no,True,1
1,3,1,-0.3979709886266348,0,0,-0.589125707580498,2,Third,1,True,,Southampton,yes,True,1
1,3,0,,1,1,-0.25224642604382413,0,Third,0,False,F,Cherbourg,yes,False,3
0,3,1,1.0259327300223213,0,0,-0.5928162676420204,2,Third,1,True,,Southampton,no,True,1
0,3,1,0.21227346222291785,0,0,-0.5724307385199453,0,Third,1,True,,Cherbourg,no,True,1
0,3,1,-0.6691907445597693,0,0,-0.5911558476983241,2,Third,1,True,,Southampton,no,True,1
0,3,0,1.1615426079888886,1,0,-0.4262207999578157,2,Third,0,False,,Southampton,no,False,2
0,2,1,-0.33016604964335117,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,no,True,1
0,2,1,-0.4657759276099184,0,0,-0.41413737055422245,0,Second,1,True,,Cherbourg,no,True,1
1,1,0,-0.736995683543053,0,2,-0.1653511156570462,2,First,0,False,D,Southampton,yes,False,3
0,1,1,0.4834932181560524,1,0,0.42834199773126147,2,First,1,True,C,Southampton,no,False,2
0,3,1,-0.9404105004929039,0,0,-0.5431874224715645,2,Third,1,True,,Southampton,no,True,1
0,1,1,-0.3979709886266348,0,0,1.0061681381376064,0,First,1,True,B,Cherbourg,no,True,1
0,3,0,,0,2,-0.40970958403769875,0,Third,0,False,,Cherbourg,no,False,3
1,3,0,-0.533580866593202,0,0,-0.5756585948904911,2,Third,0,False,,Southampton,yes,True,1
1,3,0,-0.3979709886266348,1,0,-0.3963332409712806,2,Third,0,False,,Southampton,yes,False,2
0,3,1,-0.736995683543053,0,0,-0.5977975274731097,1,Third,1,True,,Queenstown,no,True,1
0,2,1,-0.8048006225263366,0,0,-0.49263759770567145,2,Second,1,True,,Southampton,no,True,1
0,2,1,-0.736995683543053,1,1,0.06637045000544768,2,Second,1,True,,Southampton,no,False,3
1,3,1,-0.19455617167678393,0,0,-0.5746446317782071,2,Third,1,True,,Southampton,yes,True,1
0,3,0,-1.4150450733758893,2,2,0.013790485121728554,2,Third,0,False,,Southampton,no,False,5
0,2,1,0.44959074866441057,0,2,-0.17162307525770204,2,Second,1,True,F,Southampton,no,False,3
0,2,1,0.8225179130724705,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,no,True,1
0,2,1,1.4327623639220233,0,0,-0.46994519180848743,2,Second,1,True,,Southampton,no,True,1
1,1,0,-0.533580866593202,1,0,0.7272175875966121,2,First,0,False,C,Southampton,yes,False,2
0,3,1,1.7378845893467996,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,0.720810504597545,0,2,-0.4262207999578157,2,Third,1,True,,Southampton,no,False,3
0,3,1,,0,0,-0.5853443778953867,2,Third,1,True,,Southampton,no,True,1
0,1,1,1.4327623639220233,0,1,0.6116346483692771,0,First,1,True,,Cherbourg,no,False,2
1,3,0,-0.9404105004929039,0,0,-0.5760283150646208,1,Third,0,False,,Queenstown,yes,True,1
0,3,1,0.00885864527306696,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,,0,0,-0.5554568189088516,2,Third,1,True,,Southampton,no,True,1
0,3,1,,8,2,0.7925274387153369,2,Third,1,True,,Southampton,no,False,11
0,3,1,0.9581277910390378,0,1,-0.3907985078256259,2,Third,1,True,,Southampton,no,False,2
1,2,0,0.6869080351059033,0,0,-0.39854713422954247,2,Second,0,False,,Southampton,yes,True,1
0,3,1,-0.26236111066006756,0,0,-0.5751051215759256,2,Third,1,True,,Southampton,no,True,1
0,3,1,-0.8726055615096202,0,0,-0.5554568189088516,2,Third,1,True,,Southampton,no,True,1
0,3,1,-1.9574845852421583,4,1,0.13140356446688975,2,Third,0,False,,Southampton,no,False,6
1,3,1,-1.4150450733758893,0,2,-0.2928337311475388,2,Third,0,False,,Southampton,yes,False,3
1,1,0,,0,1,0.4704059696382367,2,First,0,False,E,Southampton,yes,False,2
0,3,0,1.0259327300223213,1,4,-0.12955910335072676,2,Third,0,False,,Southampton,no,False,6
0,1,1,,0,0,-0.1732834952013984,2,First,1,True,,Southampton,no,True,1
0,3,1,-0.1267512326935003,0,0,0.5035213849953176,2,Third,1,True,,Southampton,no,True,1
0,1,1,2.1108117537548594,0,0,-0.005581080888062703,2,First,1,True,B,Southampton,no,True,1
0,3,1,-1.7540697682923074,4,1,-0.10243891093701898,1,Third,0,False,,Queenstown,no,False,6
1,3,0,-1.9574845852421583,1,1,-0.5007559442837177,2,Third,0,False,,Southampton,yes,False,3
0,1,1,1.7717870588384412,0,0,-0.06766307563624176,0,First,1,True,A,Cherbourg,no,True,1
0,3,1,-0.8048006225263366,1,1,-0.5733517181153822,2,Third,1,True,,Southampton,no,False,3
0,3,1,,3,1,-0.18342976800401253,2,Third,1,True,,Southampton,no,False,5
0,1,0,1.3649574249387395,0,0,-0.11157122062734917,0,First,0,False,C,Cherbourg,no,True,1
0,2,1,0.00885864527306696,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,no,True,1
0,3,1,0.41568827917276874,0,0,-0.747235322405785,2,Third,1,True,,Southampton,no,True,1
0,3,0,,8,2,0.7925274387153369,2,Third,0,False,,Southampton,no,False,11
0,2,1,,0,0,-0.41404438703737545,0,Second,1,True,,Cherbourg,no,True,1
0,3,1,-1.4150450733758893,4,2,-0.052349575968844465,2,Third,0,False,,Southampton,no,False,7
1,2,1,-1.9574845852421583,2,1,0.11618304831633948,2,Second,0,False,F,Southampton,yes,False,4
1,3,0,-1.7540697682923074,0,2,-0.2596253322736109,2,Third,0,False,,Southampton,yes,False,3
0,1,1,,0,0,0.35971130672514384,2,First,1,True,A,Southampton,no,True,1
1,3,0,,1,0,-0.40408186737519713,1,Third,0,False,,Queenstown,yes,False,2
1,1,1,1.0259327300223213,0,0,-0.15944666233726182,2,First,1,True,,Southampton,yes,True,1
0,3,1,0.6869080351059033,1,1,-0.40408186737519713,1,Third,1,True,,Queenstown,no,False,3
0,3,1,0.41568827917276874,0,0,-0.5724307385199453,2,Third,1,True,,Southampton,no,True,1
1,2,0,0.14446852323963422,0,0,-0.45942919883174355,2,Second,0,False,,Southampton,yes,True,1
0,2,1,-0.736995683543053,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,no,True,1
1,3,0,-0.736995683543053,1,0,-0.5733517181153822,2,Third,0,False,,Southampton,yes,False,2
1,2,1,-1.821874707275591,1,1,-0.17162307525770204,2,Second,0,False,F,Southampton,yes,False,3
1,1,0,0.9581277910390378,0,0,-0.13352640006953198,0,First,0,False,B,Cherbourg,yes,True,1
1,1,0,1.9073969368050085,0,0,2.496578790745555,0,First,0,False,B,Cherbourg,yes,True,1
0,3,1,0.8225179130724705,0,1,-0.5611753051949421,2,Third,1,True,,Southampton,no,False,2
0,2,0,-0.3979709886266348,0,0,-0.45942919883174355,2,Second,0,False,,Southampton,no,True,1
0,3,1,-0.1267512326935003,0,0,-0.5369154628709086,2,Third,1,True,,Southampton,no,True,1
0,3,1,0.2800784012062015,0,0,-0.6034252441356114,2,Third,1,True,,Southampton,no,True,1
0,3,1,1.0598351995139632,0,0,-0.5872815344963658,0,Third,1,True,,Cherbourg,no,True,1
1,3,1,-0.8048006225263366,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,yes,True,1
0,3,0,-1.8896796462588747,0,1,-0.5156067402601382,2,Third,0,False,G,Southampton,no,False,2
0,3,1,0.14446852323963422,1,0,-0.3963332409712806,2,Third,1,True,,Southampton,no,False,2
1,3,1,-0.26236111066006756,0,0,-0.3313001265098385,0,Third,1,True,,Cherbourg,yes,True,1
1,3,0,-0.9404105004929039,0,0,-0.5756585948904911,1,Third,0,False,,Queenstown,yes,True,1
1,1,1,0.6869080351059033,0,0,-0.06092841234460915,0,First,1,True,A,Cherbourg,yes,True,1
0,3,1,-0.3979709886266348,0,0,-0.5911558476983241,2,Third,1,True,,Southampton,no,True,1
1,2,0,0.34788334018948514,0,0,-0.2823177381707949,2,Second,0,False,,Southampton,yes,True,1
0,3,1,-0.533580866593202,0,0,-0.5867280611818004,2,Third,1,True,,Southampton,no,True,1
0,3,1,,1,0,-0.5756585948904911,1,Third,1,True,,Queenstown,no,False,2
1,1,0,0.07666358425635059,1,0,1.7605522658903345,0,First,0,False,D,Cherbourg,yes,False,2
1,3,0,-0.19455617167678393,0,0,-0.5717842816885328,2,Third,0,False,,Southampton,yes,True,1
0,2,1,0.8225179130724705,1,0,-0.14948414267508345,2,Second,1,True,,Southampton,no,False,2
1,1,0,0.14446852323963422,0,0,0.9417814805075768,0,First,0,False,D,Cherbourg,yes,True,1
0,2,1,0.00885864527306696,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
1,3,1,-0.9404105004929039,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,yes,True,1
0,2,1,-0.19455617167678393,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,no,True,1
0,3,1,1.4327623639220233,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
1,1,1,0.5512981571393359,1,0,1.2452686100298869,2,First,1,True,C,Southampton,yes,False,2
0,3,1,-0.533580866593202,0,0,-0.5402363027583014,2,Third,1,True,,Southampton,no,True,1
1,2,1,-0.736995683543053,0,0,-0.51477653028829,2,Second,1,True,,Southampton,yes,True,1
0,3,1,-0.6352882750681276,0,0,-0.5867280611818004,2,Third,1,True,,Southampton,no,True,1
0,2,1,-0.8048006225263366,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,no,True,1
0,3,0,,3,1,-0.18342976800401253,2,Third,0,False,,Southampton,no,False,5
1,1,0,0.34788334018948514,1,0,1.1008120749283006,2,First,0,False,C,Southampton,yes,False,2
0,3,1,-0.05894629371021667,0,0,-0.5751051215759256,2,Third,1,True,,Southampton,no,True,1
0,2,1,1.9752018757882923,0,0,-0.44835973254043426,2,Second,1,True,,Southampton,no,True,1
1,3,0,-1.6862648293090239,4,2,-0.052349575968844465,2,Third,0,False,,Southampton,yes,False,7
0,2,1,-0.3979709886266348,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
0,3,0,,0,0,-0.5800863814070147,2,Third,0,False,,Southampton,no,True,1
0,2,1,0.9581277910390378,1,0,-0.17162307525770204,2,Second,1,True,,Southampton,no,False,2
1,2,0,-1.4828500123591728,0,2,-0.1660883421120474,2,Second,0,False,,Southampton,yes,False,3
0,2,1,-0.736995683543053,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
0,2,1,0.21227346222291785,0,0,-0.47547992495414204,2,Second,1,True,,Southampton,no,True,1
0,3,0,,1,0,-0.4272347630700996,0,Third,0,False,,Cherbourg,no,False,2
0,2,1,-0.05894629371021667,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
0,3,1,-0.533580866593202,0,0,-0.5894954277546277,2,Third,1,True,,Southampton,no,True,1
0,3,1,0.00885864527306696,0,0,-0.5872815344963658,0,Third,1,True,,Cherbourg,no,True,1
0,1,1,0.9581277910390378,2,0,1.2452686100298869,1,First,1,True,C,Queenstown,no,False,3
0,3,0,-0.33016604964335117,0,0,-0.5751051215759256,2,Third,0,False,,Southampton,no,True,1
1,2,0,-0.3979709886266348,0,2,-0.4262207999578157,2,Second,0,False,,Southampton,yes,False,3
1,1,1,0.4834932181560524,1,1,0.4162585683276682,2,First,1,True,D,Southampton,yes,False,3
0,2,1,1.6361771808718741,1,0,-0.17162307525770204,2,Second,1,True,,Southampton,no,False,2
0,3,1,,0,0,-0.5867280611818004,2,Third,1,True,,Southampton,no,True,1
0,3,0,-0.05894629371021667,1,1,-0.5156067402601382,2,Third,0,False,G,Southampton,no,False,3
0,1,1,2.1786166927381427,0,0,-0.15944666233726182,2,First,1,True,C,Southampton,no,True,1
0,3,1,0.00885864527306696,1,0,-0.3907985078256259,2,Third,1,True,,Southampton,no,False,2
0,3,0,0.7547129740891869,0,2,-0.2997521475796071,2,Third,0,False,,Southampton,no,False,3
1,3,0,-0.05894629371021667,0,2,-0.40970958403769875,0,Third,0,False,,Cherbourg,yes,False,3
1,1,0,,0,0,1.0061681381376064,0,First,0,False,,Cherbourg,yes,True,1
1,1,0,0.00885864527306696,0,0,1.167782345990722,2,First,0,False,B,Southampton,yes,True,1
1,1,0,0.34788334018948514,0,0,5.061467113958765,0,First,0,False,,Cherbourg,yes,True,1
1,2,0,1.3649574249387395,0,1,-0.17162307525770204,2,Second,0,False,,Southampton,yes,False,2
1,3,1,-1.821874707275591,4,2,-0.052349575968844465,2,Third,0,False,,Southampton,yes,False,7
0,1,1,1.5005673029053068,1,1,1.0161306577997848,2,First,1,True,E,Southampton,no,False,3
0,1,1,0.6869080351059033,0,0,-0.747235322405785,2,First,1,True,B,Southampton,no,True,1
0,3,0,,0,0,-0.5756585948904911,1,Third,0,False,,Queenstown,no,True,1
0,2,1,0.41568827917276874,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
0,3,1,-0.9404105004929039,4,1,0.13140356446688975,2,Third,1,True,,Southampton,no,False,6
1,3,1,-0.33016604964335117,1,0,-0.5751051215759256,2,Third,1,True,,Southampton,yes,False,2
1,1,0,1.9073969368050085,0,1,2.6502606190543188,2,First,0,False,C,Southampton,yes,False,2
1,1,0,0.34788334018948514,0,0,2.255541162252295,2,First,0,False,C,Southampton,yes,True,1
0,1,1,,0,0,-0.06092841234460915,2,First,1,True,,Southampton,no,True,1
1,3,1,-0.33016604964335117,0,0,-0.747235322405785,2,Third,1,True,,Southampton,yes,True,1
1,2,0,0.7547129740891869,0,1,-0.3155261370447228,2,Second,0,False,,Southampton,yes,False,2
0,1,1,0.4834932181560524,0,1,-0.08970902470201332,0,First,1,True,C,Cherbourg,no,False,2
1,1,0,2.2464216317214265,1,0,0.9786782255497687,2,First,0,False,D,Southampton,yes,False,2
0,3,0,1.0259327300223213,0,0,-0.5756585948904911,2,Third,0,False,,Southampton,no,True,1
0,2,1,,0,0,-0.747235322405785,2,Second,1,True,,Southampton,no,True,1
0,3,1,-1.5506549513424566,4,1,-0.10243891093701898,1,Third,0,False,,Queenstown,no,False,6
1,3,0,0.34788334018948514,1,1,-0.29892193760775887,2,Third,0,False,,Southampton,yes,False,3
0,3,1,2.3820315096879936,0,0,-0.5756585948904911,1,Third,1,True,,Queenstown,no,True,1
0,3,1,-0.1267512326935003,0,0,-0.5733517181153822,2,Third,1,True,,Southampton,no,True,1
0,3,1,-0.9404105004929039,0,0,-0.5369154628709086,2,Third,1,True,,Southampton,no,True,1
1,3,1,-0.736995683543053,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,yes,True,1
0,1,1,,0,0,-0.17162307525770204,2,First,1,True,A,Southampton,no,True,1
0,3,1,0.21227346222291785,0,0,-0.5554568189088516,0,Third,1,True,,Cherbourg,no,True,1
1,3,1,0.00885864527306696,0,0,-0.5369154628709086,2,Third,1,True,,Southampton,yes,True,1
0,3,1,-0.533580866593202,0,0,-0.5724307385199453,2,Third,1,True,,Southampton,no,True,1
1,2,1,0.8225179130724705,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,yes,True,1
1,3,0,-0.533580866593202,0,0,-0.5756585948904911,1,Third,0,False,,Queenstown,yes,True,1
1,1,0,-0.26236111066006756,0,0,0.9984195117336897,2,First,0,False,,Southampton,yes,True,1
1,1,0,-0.736995683543053,1,0,1.2691609460730489,0,First,0,False,B,Cherbourg,yes,False,2
0,2,1,0.41568827917276874,0,0,-0.4621965654045709,0,Second,1,True,D,Cherbourg,no,True,1
0,3,0,-0.3979709886266348,0,0,-0.5513057690496106,2,Third,0,False,,Southampton,no,True,1
0,3,1,-0.3979709886266348,0,0,-0.5724307385199453,2,Third,1,True,,Southampton,no,True,1
0,3,1,-0.43187345811827665,0,0,-0.5871885509795188,0,Third,1,True,,Cherbourg,no,True,1
